idx,lat,lon,shape,aggTemp,aggPsal,nProf
9869,62.5,-30.5,"[[-30.0, 62.0], [-30.0, 63.0], [-31.0, 63.0], [-31.0, 62.0], [-30.0, 62.0]]",7.8472999573,34.7151000977,10
9874,62.5,-25.5,"[[-25.0, 62.0], [-25.0, 63.0], [-26.0, 63.0], [-26.0, 62.0], [-25.0, 62.0]]",9.0626665751,34.8883336385,3
9878,62.5,-21.5,"[[-21.0, 62.0], [-21.0, 63.0], [-22.0, 63.0], [-22.0, 62.0], [-21.0, 62.0]]",10.1591997147,34.9261985779,5
9882,62.5,-17.5,"[[-17.0, 62.0], [-17.0, 63.0], [-18.0, 63.0], [-18.0, 62.0], [-17.0, 62.0]]",10.3846664429,34.935333252,3
9883,62.5,-16.5,"[[-16.0, 62.0], [-16.0, 63.0], [-17.0, 63.0], [-17.0, 62.0], [-16.0, 62.0]]",10.4300000668,34.9622516632,4
9884,62.5,-15.5,"[[-15.0, 62.0], [-15.0, 63.0], [-16.0, 63.0], [-16.0, 62.0], [-15.0, 62.0]]",10.5969996452,34.9587497711,4
9885,62.5,-14.5,"[[-14.0, 62.0], [-14.0, 63.0], [-15.0, 63.0], [-15.0, 62.0], [-14.0, 62.0]]",10.7261997223,34.9725997925,5
9919,62.5,19.5,"[[20.0, 62.0], [20.0, 63.0], [19.0, 63.0], [19.0, 62.0], [20.0, 62.0]]",7.9831999779,5.282399869,20
10205,61.5,-54.5,"[[-54.0, 61.0], [-54.0, 62.0], [-55.0, 62.0], [-55.0, 61.0], [-54.0, 61.0]]",5.5004374683,,16
10208,61.5,-51.5,"[[-51.0, 61.0], [-51.0, 62.0], [-52.0, 62.0], [-52.0, 61.0], [-51.0, 61.0]]",6.6509375274,,16
10221,61.5,-38.5,"[[-38.0, 61.0], [-38.0, 62.0], [-39.0, 62.0], [-39.0, 61.0], [-38.0, 61.0]]",6.9675999641,,5
10222,61.5,-37.5,"[[-37.0, 61.0], [-37.0, 62.0], [-38.0, 62.0], [-38.0, 61.0], [-37.0, 61.0]]",7.4409998844,34.672316501,19
10223,61.5,-36.5,"[[-36.0, 61.0], [-36.0, 62.0], [-37.0, 62.0], [-37.0, 61.0], [-36.0, 61.0]]",6.7329999379,34.796572549,7
10224,61.5,-35.5,"[[-35.0, 61.0], [-35.0, 62.0], [-36.0, 62.0], [-36.0, 61.0], [-35.0, 61.0]]",7.6018999577,34.6960002899,10
10225,61.5,-34.5,"[[-34.0, 61.0], [-34.0, 62.0], [-35.0, 62.0], [-35.0, 61.0], [-34.0, 61.0]]",7.4083333015,34.7323328654,6
10226,61.5,-33.5,"[[-33.0, 61.0], [-33.0, 62.0], [-34.0, 62.0], [-34.0, 61.0], [-33.0, 61.0]]",6.7541999817,34.776600647,5
10229,61.5,-30.5,"[[-30.0, 61.0], [-30.0, 62.0], [-31.0, 62.0], [-31.0, 61.0], [-30.0, 61.0]]",8.4368998528,34.694500351,10
10230,61.5,-29.5,"[[-29.0, 61.0], [-29.0, 62.0], [-30.0, 62.0], [-30.0, 61.0], [-29.0, 61.0]]",8.3051111433,34.6988902622,9
10232,61.5,-27.5,"[[-27.0, 61.0], [-27.0, 62.0], [-28.0, 62.0], [-28.0, 61.0], [-27.0, 61.0]]",8.9188330968,34.9446665446,6
10237,61.5,-22.5,"[[-22.0, 61.0], [-22.0, 62.0], [-23.0, 62.0], [-23.0, 61.0], [-22.0, 61.0]]",10.2956666946,34.9653333028,3
10238,61.5,-21.5,"[[-21.0, 61.0], [-21.0, 62.0], [-22.0, 62.0], [-22.0, 61.0], [-21.0, 61.0]]",10.4318334262,34.9533335368,6
10240,61.5,-19.5,"[[-19.0, 61.0], [-19.0, 62.0], [-20.0, 62.0], [-20.0, 61.0], [-19.0, 61.0]]",10.4634000778,34.9053985596,5
10241,61.5,-18.5,"[[-18.0, 61.0], [-18.0, 62.0], [-19.0, 62.0], [-19.0, 61.0], [-18.0, 61.0]]",10.5033998489,34.9453994751,5
10247,61.5,-12.5,"[[-12.0, 61.0], [-12.0, 62.0], [-13.0, 62.0], [-13.0, 61.0], [-12.0, 61.0]]",10.6825788899,35.0136317203,19
10280,61.5,20.5,"[[21.0, 61.0], [21.0, 62.0], [20.0, 62.0], [20.0, 61.0], [21.0, 61.0]]",8.2971954504,5.4036457102,573
10566,60.5,-53.5,"[[-53.0, 60.0], [-53.0, 61.0], [-54.0, 61.0], [-54.0, 60.0], [-53.0, 60.0]]",5.5082499981,34.3396253586,8
10567,60.5,-52.5,"[[-52.0, 60.0], [-52.0, 61.0], [-53.0, 61.0], [-53.0, 60.0], [-52.0, 60.0]]",5.0039333502,34.1784353892,30
10568,60.5,-51.5,"[[-51.0, 60.0], [-51.0, 61.0], [-52.0, 61.0], [-52.0, 60.0], [-51.0, 60.0]]",5.0452222824,34.384220971,9
