,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
79,,,5211,,289.0,,8302,27.0,,1119.0,,,3.0,,,,156.0,,,,,,,23.0,529,,,18.0,,,6.0,,,,,1082,3.0,,52.0,7.0,,5345,332,1049,99,846,2010-08-31,153,1033,176,125,402,9600,40.0
80,,,5065,,275.0,,8012,35.0,,1125.0,,,4.0,,,,159.0,,,,,,,,499,,,18.0,,,9.0,,,,,1027,,,39.0,6.0,,5147,329,1032,93,838,2010-09-30,182,979,178,118,385,9320,39.0
81,,,5220,,279.0,,8319,43.0,,1137.0,,,3.0,,,,171.0,,,,,,,,549,,,18.0,,,5.0,,,,,1030,,,14.0,6.0,,5272,338,1096,108,890,2010-10-31,189,1010,171,121,395,9631,41.0
82,,,5144,,267.0,,8237,39.0,,1160.0,,,2.0,,,,155.0,,,,,,,,543,,,18.0,,,10.0,,,,,1036,,,52.0,6.0,,5290,328,1059,109,896,2010-11-30,224,961,168,115,378,9567,39.0
83,,,5419,,279.0,,8725,81.0,,1245.0,4.0,,3.0,,,,156.0,,,,,,,,574,,,18.0,,,5.0,,,,,1131,,,60.0,15.0,,5573,336,1157,136,955,2010-12-31,226,1044,159,120,389,10136,41.0
84,,,5464,,270.0,,8703,116.0,,1091.0,24.0,,15.0,,,,80.0,,,,,,,,552,,,9.0,,,10.0,,,,,1121,,,2.0,15.0,,5477,338,1167,125,983,2011-01-31,214,997,172,109,383,10005,40.0
85,,,4982,,221.0,,7839,118.0,,957.0,24.0,,20.0,,,,19.0,,,,,,,,494,,,6.0,,,5.0,,,,,1003,,,,14.0,,4880,292,1085,103,911,2011-02-28,243,852,146,92,348,8986,34.0
86,,,5669,,222.0,,8837,132.0,,1125.0,18.0,,17.0,,,,20.0,,,,,,,,558,,,1.0,,,5.0,,,,,1133,,,25.0,15.0,,5498,327,1223,123,1090,2011-03-31,263,968,167,110,361,10164,34.0
87,,,5513,,194.0,,8775,132.0,,1290.0,6.0,,19.0,,,,24.0,,,,,,,5.0,756,,,,,,8.0,,,,,1078,,,186.0,23.0,,5479,307,1225,119,1089,2011-04-30,264,1140,148,106,328,10238,33.0
88,,,5613,,205.0,,8992,146.0,,1296.0,3.0,,18.0,,,,50.0,,,,,,,10.0,838,,,,,,4.0,,,,,1100,,,89.0,141.0,,5479,319,1280,116,1142,2011-05-31,278,1207,163,105,349,10472,34.0
