timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
77,77,2011-02-03,40,30,20,36.43492546081543,0.16455439809372874,2011-01-01,17.537349891662597,0.9910742568784976,30,40,3
78,78,2011-03-09,40,30,19,36.412235059236224,0.1423111264954384,2011-02-04,16.822368722212946,0.8124738239629964,30,40,3
79,79,2011-04-11,40,30,20,36.39510803222656,0.12020534336338105,2011-03-10,16.609899950027465,0.7592471930228758,30,40,3
80,80,2011-05-14,40,30,16,36.40877079963685,0.13534508974396064,2011-04-12,17.171374797821045,0.7521839994591549,30,40,3
81,81,2011-06-16,40,30,19,36.493764029608826,0.16285626099995815,2011-05-15,18.347526349519427,1.0665112027919004,30,40,3
82,82,2011-07-19,40,30,46,36.419094255235464,0.14751479016980626,2011-06-17,18.37865236531133,1.4916727295596792,30,40,3
83,83,2011-08-21,40,30,43,36.61187052172285,0.1256378431052296,2011-07-20,20.923046688700836,0.7062953861208708,30,40,3
84,84,2011-09-23,40,30,40,36.64635543823242,0.11224520859485346,2011-08-22,22.020050191879267,0.5787193382852722,30,40,3
85,85,2011-10-26,40,30,42,36.720049267723454,0.1036703702229725,2011-09-24,22.283285822187146,0.5338598007705343,30,40,3
86,86,2011-11-28,40,30,39,36.55343706179888,0.1437569863921903,2011-10-27,20.326692189925755,1.0158673886974965,30,40,3
87,87,2011-12-31,40,30,39,36.541400811611084,0.14535103166372865,2011-11-29,18.42092333084498,0.7513663018466584,30,40,3
88,88,2012-02-03,40,30,29,36.50554038738383,0.14749170382583002,2012-01-01,17.469448221140894,0.7476311771636188,30,40,3
89,89,2012-03-08,40,30,16,36.49299073219299,0.06087771879955515,2012-02-04,16.620687365531918,0.37234809793592827,30,40,3
90,90,2012-04-11,40,30,20,36.51379776000977,0.07825722914459146,2012-03-09,16.884349822998047,0.4726970786736554,30,40,3
91,91,2012-05-14,40,30,16,36.5466742515564,0.09144135818019,2012-04-12,17.409687399864193,0.5097869185654519,30,40,3
92,92,2012-06-16,40,30,54,36.36862443994593,0.14240149565011284,2012-05-15,17.563555576183177,1.0180215180019403,30,40,3
93,93,2012-07-19,40,30,59,36.4470649331303,0.14527337821982647,2012-06-17,18.772135621410307,1.5581970436734758,30,40,3
94,94,2012-08-21,40,30,65,36.4954711327186,0.1507399746798335,2012-07-20,20.03993841317984,1.7221771211079238,30,40,3
